timeNode0,bufferSizeNode0,timeNode7,bufferSizeNode7,timeNode6,bufferSizeNode6,timeNode2,bufferSizeNode2,timeNode1,bufferSizeNode1,timeNode5,delayNode5
69.63268059,66,102.7734289,0,103.7735289,0,108.3999673,6,112.4000673,0,,
69.77332886,65,103.7734289,1,104.7735289,1,109.2526217,7,113.4000673,1,,
70.63268059,66,103.7734289,0,104.7735289,0,109.3999673,6,113.4000673,0,,
70.77332886,65,104.7734289,1,105.7735289,1,110.3922296,7,114.4000673,1,,
71.63268059,66,104.7734289,0,105.7735289,0,110.3999673,6,114.4000673,0,,
71.77332886,65,105.7734289,1,106.7735289,1,110.988609,7,115.4000673,1,,
71.96938437,66,105.7734289,0,106.7735289,0,111.3999673,6,115.4000673,0,,
72.63268059,67,106.7734289,1,107.7735289,1,112.3999673,5,116.4000673,1,,
72.77332886,66,106.7734289,0,107.7735289,0,113.3999673,4,116.4000673,0,,
73.77332886,65,107.7734289,1,108.7735289,1,114.3999673,3,117.4000673,1,,
74.07470567,66,107.7734289,0,108.7735289,0,114.8316156,4,117.4000673,0,,
74.1320326,67,108.7734289,1,109.7735289,1,115.3999673,3,118.4000673,1,,
74.29331986,68,108.7734289,0,109.7735289,0,116.3999673,2,118.4000673,0,,
74.77332886,67,109.7734289,1,110.7735289,1,116.5125378,3,119.4000673,1,,
75.0605111,68,109.7734289,0,110.7735289,0,117.3999673,2,119.4000673,0,,
75.29331986,69,110.7734289,1,111.7735289,1,117.6378198,3,120.4000673,1,,
75.66045798,70,110.7734289,0,111.7735289,0,117.9252303,4,120.4000673,0,,
75.77332886,69,111.7734289,1,112.7735289,1,118.3999673,3,121.4000673,1,,
76.29331986,70,111.7734289,0,112.7735289,0,118.7957661,4,121.4000673,0,,
76.77332886,69,112.7734289,1,113.7735289,1,119.171505,5,122.4000673,1,,
77.00470326,70,112.7734289,0,113.7735289,0,119.3999673,4,122.4000673,0,,
77.02489338,71,113.7734289,1,114.7735289,1,120.3999673,3,123.4000673,1,,
77.06486968,72,113.7734289,0,114.7735289,0,121.3999673,2,123.4000673,0,,
77.64774807,73,114.7734289,1,115.7735289,1,122.3999673,1,124.4000673,1,,
77.77332886,72,114.7734289,0,115.7735289,0,122.5358754,2,124.4000673,0,,
78.77332886,71,115.7734289,1,116.7735289,1,123.3999673,1,125.4000673,1,,
79.40016733,72,115.7734289,0,116.7735289,0,123.8277847,2,125.4000673,0,,
79.77332886,71,116.7734289,1,117.7735289,1,124.3999673,1,126.4000673,1,,
80.40016733,72,116.7734289,0,117.7735289,0,124.5235842,2,126.4000673,0,,
80.77332886,71,117.7734289,1,118.7735289,1,125.3999673,1,127.4000673,1,,
81.40016733,72,117.7734289,0,118.7735289,0,126.3999673,0,127.4000673,0,,
81.53931819,73,118.7734289,1,119.7735289,1,127.6490525,1,128.6491525,1,,
81.77332886,72,118.7734289,0,119.7735289,0,127.6490525,0,128.6491525,0,,
82.07420257,73,119.7734289,1,120.7735289,1,128.5814554,1,129.6491525,1,,
82.40016733,74,119.7734289,0,120.7735289,0,128.6008352,2,129.6491525,0,,
82.77332886,73,120.7734289,1,121.7735289,1,128.6490525,1,130.6491525,1,,
83.40016733,74,120.7734289,0,121.7735289,0,129.2359629,2,130.6491525,0,,
83.77332886,73,121.7734289,1,122.7735289,1,129.6490525,1,131.6491525,1,,
84.40016733,74,121.7734289,0,122.7735289,0,130.4950064,2,131.6491525,0,,
84.57811435,75,122.7734289,1,123.7735289,1,130.6490525,1,132.6491525,1,,
84.77332886,74,122.7734289,0,123.7735289,0,130.8346712,2,132.6491525,0,,
85.40016733,75,123.7734289,1,124.7735289,1,131.3183068,3,133.6491525,1,,
85.41095787,76,123.7734289,0,124.7735289,0,131.6490525,2,133.6491525,0,,
85.77332886,75,124.7734289,1,125.7735289,1,132.6490525,1,134.6491525,1,,
86.40016733,76,124.7734289,0,125.7735289,0,132.701286,2,134.6491525,0,,
86.77332886,75,125.7734289,1,126.7735289,1,132.84686,3,135.6491525,1,,
87.40016733,76,125.7734289,0,126.7735289,0,132.9554071,4,135.6491525,0,,
87.41419839,77,126.7734289,1,127.7735289,1,133.3096313,5,136.6491525,1,,
87.5128487,78,126.7734289,0,127.7735289,0,133.406554,6,136.6491525,0,,
87.77332886,77,127.7734289,1,128.7735289,1,133.6490525,5,137.6491525,1,,
88.40016733,78,127.7734289,0,128.7735289,0,134.2504425,6,137.6491525,0,,
88.77332886,77,128.7734289,1,129.7735289,1,134.6490525,5,138.6491525,1,,
89.40016733,78,128.7734289,0,129.7735289,0,134.6874705,6,138.6491525,0,,
89.77332886,77,129.7734289,1,130.7735289,1,135.4900225,7,139.6491525,1,,
90.05315321,78,129.7734289,0,130.7735289,0,135.5242259,8,139.6491525,0,,
90.13992369,79,130.7734289,1,131.7735289,1,135.6490525,7,140.6491525,1,,
90.40016733,80,130.7734289,0,131.7735289,0,136.5832353,8,140.6491525,0,,
90.77332886,79,131.7734289,1,132.7735289,1,136.6490525,7,141.6491525,1,,
91.40016733,80,131.7734289,0,132.7735289,0,137.6390849,8,141.6491525,0,,
91.77332886,79,132.7734289,1,133.7735289,1,137.6490525,7,142.6491525,1,,
92.40016733,80,132.7734289,0,133.7735289,0,138.026215,8,142.6491525,0,,
92.77332886,79,133.7734289,1,134.7735289,1,138.5908255,9,143.6491525,1,,
92.78917962,80,133.7734289,0,134.7735289,0,138.6490525,8,143.6491525,0,,
92.93051033,81,134.7734289,1,135.7735289,1,138.840907,9,144.6491525,1,,
